Entity,Code,Year,Annual CO₂ emissions
Syria,SYR,2000,54171076.0
Syria,SYR,2023,25503272.0
Taiwan,TWN,2000,226934000.0
Taiwan,TWN,2023,261152590.0
Tajikistan,TJK,2000,2233862.0
Tajikistan,TJK,2023,9054525.0
Tanzania,TZA,2000,2571821.0
Tanzania,TZA,2023,18066046.0
Thailand,THA,2000,167352160.0
Thailand,THA,2023,264388640.0
Togo,TGO,2000,1331372.0
Togo,TGO,2023,2620035.0
Tonga,TON,2000,95264.0
Tonga,TON,2023,199331.0
Trinidad and Tobago,TTO,2000,24366292.0
Trinidad and Tobago,TTO,2023,34317936.0
Tunisia,TUN,2000,19551510.0
Tunisia,TUN,2023,32792874.0
Turkey,TUR,2000,229936660.0
Turkey,TUR,2023,432077340.0
Turkmenistan,TKM,2000,39361496.0
Turkmenistan,TKM,2023,63362624.0
Tuvalu,TUV,2000,7328.0
Tuvalu,TUV,2023,11500.0
Uganda,UGA,2000,1360870.0
Uganda,UGA,2023,5613657.0
Ukraine,UKR,2000,285674200.0
Ukraine,UKR,2023,136460590.0
United Arab Emirates,ARE,2000,111813100.0
United Arab Emirates,ARE,2023,229383650.0
United Kingdom,GBR,2000,569033660.0
United Kingdom,GBR,2023,305146340.0
United States,USA,2000,6010135600.0
United States,USA,2023,4911391000.0
Uruguay,URY,2000,5268017.0
Uruguay,URY,2023,7865945.0
Uzbekistan,UZB,2000,123477320.0
Uzbekistan,UZB,2023,124768440.0
Vanuatu,VUT,2000,84272.0
Vanuatu,VUT,2023,226164.0
Venezuela,VEN,2000,142834900.0
Venezuela,VEN,2023,99568900.0
Vietnam,VNM,2000,53935468.0
Vietnam,VNM,2023,334726080.0
Yemen,YEM,2000,15725321.0
Yemen,YEM,2023,10034892.0
Zambia,ZMB,2000,1784113.0
Zambia,ZMB,2023,7748922.0
Zimbabwe,ZWE,2000,13814538.0
Zimbabwe,ZWE,2023,11164030.0
