Entity,Code,Year,Primary energy consumption per capita (kWh/person),time
Romania,ROU,2020,19053.2,2020
Romania,ROU,2024,18694.158,2024
Russia,RUS,2020,55172.793,2020
Russia,RUS,2024,62485.312,2024
Rwanda,RWA,2020,439.89426,2020
Rwanda,,,529.7918,2023
Saint Kitts and Nevis,KNA,2020,22395.14,2020
Saint Kitts and Nevis,,,23859.037,2023
Saint Lucia,LCA,2020,13442.011,2020
Saint Lucia,,,13926.932,2023
Saint Vincent and the Grenadines,VCT,2020,10105.646,2020
Saint Vincent and the Grenadines,,,10916.865,2023
Samoa,WSM,2020,6422.969,2020
Samoa,,,6879.8896,2023
Sao Tome and Principe,STP,2020,2926.469,2020
Sao Tome and Principe,,,2600.9995,2023
Saudi Arabia,SAU,2020,93195.88,2020
Saudi Arabia,SAU,2024,96883.31,2024
Senegal,SEN,2020,2213.902,2020
Senegal,,,2433.2778,2023
Serbia,SRB,2020,25773.5,2020
Serbia,,,26332.174,2023
Seychelles,SYC,2020,29880.9,2020
Seychelles,,,28967.066,2023
Sierra Leone,SLE,2020,580.41565,2020
Sierra Leone,,,674.46545,2023
Singapore,SGP,2020,162517.11,2020
Singapore,SGP,2024,180701.45,2024
Slovakia,SVK,2020,33203.387,2020
Slovakia,SVK,2024,32882.68,2024
Slovenia,SVN,2020,36764.934,2020
Slovenia,SVN,2024,37360.676,2024
Solomon Islands,SLB,2020,1751.7308,2020
Solomon Islands,,,1657.2433,2023
Somalia,SOM,2020,191.21935,2020
Somalia,,,190.11856,2023
South Africa,ZAF,2020,23110.006,2020
South Africa,ZAF,2024,21286.549,2024
South Korea,KOR,2020,65364.605,2020
South Korea,KOR,2024,69922.41,2024
South Sudan,SSD,2020,628.45593,2020
South Sudan,,,613.11176,2023
Spain,ESP,2020,29844.283,2020
Spain,ESP,2024,33901.656,2024
Sri Lanka,LKA,2020,4653.0293,2020
Sri Lanka,LKA,2024,4819.1953,2024
Sudan,SDN,2020,1732.9142,2020
Sudan,,,1800.9769,2023
Suriname,SUR,2020,15335.176,2020
Suriname,,,17846.547,2023
Sweden,SWE,2020,57977.38,2020
Sweden,SWE,2024,57509.574,2024
Switzerland,CHE,2020,35831.17,2020
Switzerland,CHE,2024,38025.83,2024
Syria,SYR,2020,5342.43,2020
Syria,,,3976.7585,2023
Taiwan,TWN,2020,54479.203,2020
Taiwan,TWN,2024,54012.633,2024
Tajikistan,TJK,2020,4753.2974,2020
Tajikistan,,,4745.2627,2023
Tanzania,TZA,2020,974.7799,2020
