Entity,Code,Year,Annual CO₂ emissions,time
Russia,RUS,2023,1815924700,2023
Rwanda,RWA,2000,515133.03,2000
Rwanda,RWA,2023,1540220,2023
Saint Kitts and Nevis,KNA,2000,172208,2000
Saint Kitts and Nevis,KNA,2023,233472,2023
Saint Lucia,LCA,2000,348080,2000
Saint Lucia,LCA,2023,511414,2023
Saint Vincent and the Grenadines,VCT,2000,146560,2000
Saint Vincent and the Grenadines,VCT,2023,237178,2023
Samoa,WSM,2000,142896,2000
Samoa,WSM,2023,256830,2023
Sao Tome and Principe,STP,2000,47632,2000
Sao Tome and Principe,STP,2023,166171,2023
Saudi Arabia,SAU,2000,309760200,2000
Saudi Arabia,SAU,2023,736205300,2023
Senegal,SEN,2000,3902052,2000
Senegal,SEN,2023,11900644,2023
Serbia,SRB,2000,44950190,2000
Serbia,SRB,2023,42357788,2023
Seychelles,SYC,2000,315104,2000
Seychelles,SYC,2023,551015,2023
Sierra Leone,SLE,2000,271136,2000
Sierra Leone,SLE,2023,1231506,2023
Singapore,SGP,2000,37368720,2000
Singapore,SGP,2023,49252784,2023
Slovakia,SVK,2000,41191790,2000
Slovakia,SVK,2023,30739160,2023
Slovenia,SVN,2000,15053846,2000
Slovenia,SVN,2023,11328390,2023
Solomon Islands,SLB,2000,223504,2000
Solomon Islands,SLB,2023,302829,2023
Somalia,SOM,2000,476320,2000
Somalia,SOM,2023,557614,2023
South Africa,ZAF,2000,378306880,2000
South Africa,ZAF,2023,401893100,2023
South Korea,KOR,2000,439980670,2000
South Korea,KOR,2023,577416640,2023
South Sudan,SSD,2000,444622,2000
South Sudan,SSD,2023,1580456,2023
Spain,ESP,2000,310071580,2000
Spain,ESP,2023,221615650,2023
Sri Lanka,LKA,2000,10134099,2000
Sri Lanka,LKA,2023,20317522,2023
Sudan,SDN,2000,5291520,2000
Sudan,SDN,2023,20001454,2023
Suriname,SUR,2000,2192347,2000
Suriname,SUR,2023,2647446,2023
Sweden,SWE,2000,54930044,2000
Sweden,SWE,2023,36556280,2023
Switzerland,CHE,2000,43620736,2000
Switzerland,CHE,2023,32737300,2023
Syria,SYR,2000,54171076,2000
Syria,SYR,2023,25503272,2023
Taiwan,TWN,2000,226934000,2000
Taiwan,TWN,2023,261152590,2023
Tajikistan,TJK,2000,2233862,2000
Tajikistan,TJK,2023,9054525,2023
Tanzania,TZA,2000,2571821,2000
Tanzania,TZA,2023,18066046,2023
Thailand,THA,2000,167352160,2000
Thailand,THA,2023,264388640,2023
Togo,TGO,2000,1331372,2000
Togo,TGO,2023,2620035,2023
Tonga,TON,2000,95264,2000
Tonga,TON,2023,199331,2023
Trinidad and Tobago,TTO,2000,24366292,2000
Trinidad and Tobago,TTO,2023,34317936,2023
Tunisia,TUN,2000,19551510,2000
Tunisia,TUN,2023,32792874,2023
Turkey,TUR,2000,229936660,2000
Turkey,TUR,2023,432077340,2023
Turkmenistan,TKM,2000,39361496,2000
Turkmenistan,TKM,2023,63362624,2023
Tuvalu,TUV,2000,7328,2000
Tuvalu,TUV,2023,11500,2023
Uganda,UGA,2000,1360870,2000
Uganda,UGA,2023,5613657,2023
Ukraine,UKR,2000,285674200,2000
Ukraine,UKR,2023,136460590,2023
United Arab Emirates,ARE,2000,111813100,2000
United Arab Emirates,ARE,2023,229383650,2023
United Kingdom,GBR,2000,569033660,2000
United Kingdom,GBR,2023,305146340,2023
United States,USA,2000,6010135600,2000
United States,USA,2023,4911391000,2023
Uruguay,URY,2000,5268017,2000
Uruguay,URY,2023,7865945,2023
Uzbekistan,UZB,2000,123477320,2000
Uzbekistan,UZB,2023,124768440,2023
Vanuatu,VUT,2000,84272,2000
Vanuatu,VUT,2023,226164,2023
Venezuela,VEN,2000,142834900,2000
Venezuela,VEN,2023,99568900,2023
Vietnam,VNM,2000,53935468,2000
Vietnam,VNM,2023,334726080,2023
Yemen,YEM,2000,15725321,2000
Yemen,YEM,2023,10034892,2023
Zambia,ZMB,2000,1784113,2000
Zambia,ZMB,2023,7748922,2023
Zimbabwe,ZWE,2000,13814538,2000
Zimbabwe,ZWE,2023,11164030,2023
